cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_name,adm2_name,latitude,longitude,caseload_hh,n_other_sites_in_hex,certainty_stratum,buffer_radius_m,surrounding_pop,surrounding_pop_hh,density_pop_per_km2,density_hh_per_km2,density_flag_p90,density_flag_p95,caseload_flag_150,caseload_flag_200,density_flag_default,caseload_flag_default,combined_flag_default,combined_flag_both_p90_150,combined_flag_either_p95_200,combined_flag_both_p95_200
idp_NG019022_15,KD_INT044,Ungwan Hausawa,IDPs Integrated,Unguwar Rimi,NW,Kaduna,Zango-Kataf,9.586580004302336,8.224969968444883,42,0,FALSE,750,3032.88720703125,505.481201171875,1716.2630785393635,286.04384642322725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG019020_14,KD_H076,Aboro,IDPs dispersed in Host Communities,Aboro,NW,Kaduna,Sanga,9.433420004081656,8.568439968125999,34,0,FALSE,750,3030.747802734375,505.1246337890625,1715.0524233602714,285.8420705600452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG036012_14,YB_INT042,Anguwan Sarki,Integrated Sites,Nangere,NE,Yobe,Nangere,11.84622500951176,11.073636966071703,26,1,FALSE,750,3025.29931640625,504.216552734375,1711.9692108038635,285.3282018006439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG020001_11,KN_H247,Gamarya,IDPs dispersed in Host Communities,Gamarya,NW,Kano,Ajingi,11.898450008815344,8.925179968009294,12,0,FALSE,750,3023.742431640625,503.9570719401042,1711.0881942482238,285.1813657080373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG037008_1,ZF_H092,Shiyar Magaji,IDPs dispersed in Host Communities,Yankaba,NW,Zamfara,Kaura Namoda,12.635142009185929,6.563529970299593,88,0,FALSE,750,3009.69580078125,501.615966796875,1703.1394271902443,283.85657119837407,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG026006_10,NW_INT021,Jigwada,IDPs Integrated,Jigwada,NC,Nasarawa,Keffi,8.89833000292642,7.883589968745885,13,0,FALSE,750,3006.866455078125,501.1444091796875,1701.53834504138,283.5897241735633,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG032015_13,PL_H015,Vwak,IDPs dispersed in Host Communities,Jol/Kwi,NC,Plateau,Riyom,9.553569004364329,8.805265967913561,130,1,FALSE,750,2990.967529296875,498.4945882161458,1692.5413934753813,282.09023224589686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008004_3,BO_H033,Wuyo,Host Community,Wuyo,NE,Borno,Bayo,10.38255000675877,11.693769965369953,10,1,FALSE,750,2985.66552734375,497.6109212239583,1689.5410741185003,281.59017901975005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG019005_11,KD_H145,Anguwan Gardawa,IDPs dispersed in Host Communities,Auchan,NW,Kaduna,Ikara,11.406680007609696,8.006589968784649,8,0,FALSE,750,2967.423095703125,494.5705159505208,1679.2179695154018,279.8696615859003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG026009_14,NW_H262,Gunki,IDPs dispersed in Host Communities,Laminga,NC,Nasarawa,Nasarawa,8.583170002303802,7.744519968875603,52,0,FALSE,750,2952.2236328125,492.0372721354167,1670.6168329771447,278.4361388295241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
