State,LGA,Partners covering,Total wards (LGA-scoped portions),Wards reported inaccessible,% of wards inaccessible (by count),"% of target HHs inaccessible (by ward, weighted)",Reported by (across all wards),Most recent report date (across all wards),Non-IDP: population (n_pop),Non-IDP: N_hh,Non-IDP: realized MoE %,IDP: population (n_pop),IDP: N_hh,IDP: realized MoE %
Adamawa,Ganye,FACT,10,2,20.0,6.2,Partner,2026-04-09,281549.2809085846,46924.88015143076,8.771885549887495,1176,195,8.25
Zamfara,Bukkuyum,FACT,10,2,20.0,40.7,Partner,2026-04-09,305631.4310874939,50938.57184791565,9.28,21013,2849,9.12
Zamfara,Gummi,FACT,10,2,20.0,23.5,Partner,2026-04-09,308549.54081344604,51424.92346890768,9.28,16839,2810,9.12
Borno,Bayo,FACT,11,2,18.2,0.6,Partner,2026-04-09,118016.37986755373,19669.396644592285,9.26,549,93,8.31
Yobe,Bursari,FACT,11,2,18.2,9.2,Partner,2026-04-09,263324.2084350586,43887.368072509766,8.889196179358587,5129,823,9
Borno,Biu,FACT,12,2,16.7,5.8,Partner,2026-04-09,290008.7265777588,48334.7877629598,9.1,52751,7195,9.22
Kebbi,Ngaski,FACT,12,2,16.7,45.5,Partner,2026-04-09,210541.7227134705,35090.28711891174,8.146475798060928,,,
Yobe,Nguru,FACT,12,2,16.7,3.0,Partner,2026-04-09,202938.7126464844,33823.11877441406,9.27,6392,938,9.07
Adamawa,Jada,FACT,13,2,15.4,4.8,Partner,2026-04-09,286402.0970840454,47733.682847340904,8.549412645642095,960,160,8.87
Yobe,Fune,FACT,13,2,15.4,3.0,Partner,2026-04-09,479309.1031074524,79884.85051790874,9.28,4674,745,8.94
Katsina,Bindawa,FACT,14,2,14.3,0.0,Partner,2026-04-09,205899.23796081543,34316.5396601359,9.27,3376,481,8.92
Benue,Kwande,Save the Children,16,2,12.5,11.8,Needs review; Partner,2026-08-21,415075.5465621948,69179.2577603658,9.28,13591,2247,9.07
Adamawa,Fufore,FACT,10,1,10.0,0.5,Partner,2026-04-09,307659.37115097046,51276.56185849508,9.28,9949,1605,9.28
Adamawa,Toungo,FACT,10,1,10.0,0.7,Partner,2026-04-09,85318.47484970093,14219.745808283487,9.25,460,76,8.27
Katsina,Baure,FACT,10,1,10.0,0.0,Partner,2026-04-09,283949.36084365845,47324.89347394308,9.27,2227,306,8.73
Yobe,Gulani,FACT,10,1,10.0,6.5,Partner,2026-04-09,209589.52132034305,34931.58688672384,9.27,2297,356,8.96
Yobe,Yusufari,FACT,10,1,10.0,1.6,Partner,2026-04-09,135899.5456943512,22649.924282391865,9.26,1996,405,8.73
Benue,Makurdi,Malteser,11,1,9.1,32.8,Partner,2026-08-21,701171.9565620422,116861.99276034038,9.28,54792,13570,9.25
Katsina,Kaita,FACT,11,1,9.1,0.0,Partner,2026-04-09,214995.6921043396,35832.61535072327,9.27,2254,297,8.68
Yobe,Jakusko,FACT,11,1,9.1,1.0,Partner,2026-04-09,298985.25082588196,49830.875137646995,9.28,2820,461,8.88
Zamfara,Anka,Solidarités,11,1,9.1,4.4,Partner,,200352.65575790405,33392.10929298401,9.27,48546,5067,9.19
Borno,Askira/Uba,FACT,12,1,8.3,0.5,Partner,2026-04-09,133560.9821472168,22260.1636912028,9.26,12762,2127,9.06
Katsina,Daura,FACT,12,1,8.3,2.4,Partner,2026-04-09,356699.029258728,59449.838209788,9.28,1131,145,8.55
Kebbi,Aleiro,FACT,12,1,8.3,4.9,Partner,2026-08-24,117077.32178497314,19512.886964162193,9.26,,,
Katsina,Mani,FACT,13,1,7.7,1.1,Partner,2026-04-09,231517.93840026855,38586.323066711426,9.27,2031,288,8.63
Katsina,Rimi,FACT,13,1,7.7,0.5,Partner,2026-04-09,232248.69638824463,38708.11606470744,9.27,2794,355,8.95
Adamawa,Gombi,NRC,10,0,0.0,0.0,Partner,2026-08-25,474809.9642829895,79134.99404716492,9.28,6841,1452,9.25
Adamawa,Hong,NRC,12,0,0.0,0.0,Partner,2026-08-25,172829.03631591797,28804.839385986328,9.27,10164,1781,9.31
Adamawa,Lamurde,NRC,11,0,0.0,0.0,Partner,2026-08-25,125050.096118927,20841.682686487835,9.26,5376,896,9.05
Adamawa,Madagali,Street Child of Nigeria,10,0,0.0,0.0,Not yet reported,,230544.9935913086,38424.16559855143,9.27,14760,3088,9.13
Adamawa,Maiha,NRC,11,0,0.0,0.0,Partner,2026-08-25,100284.38202667236,16714.06367111206,9.26,9628,1096,9.15
Adamawa,Michika,NRC,15,0,0.0,0.0,Partner,2026-08-25,202117.11120986936,33686.1852016449,9.27,3253,920,9.06
Adamawa,Mubi North,NRC,13,0,0.0,0.0,Partner,2026-08-25,171837.1838760376,28639.530646006267,9.27,10337,2051,9.05
Adamawa,Mubi South,NRC,14,0,0.0,0.0,Partner,2026-08-25,190542.81622314453,31757.13603719075,9.27,9946,1865,9.03
Adamawa,Numan,NRC,10,0,0.0,0.0,Partner,2026-08-25,141861.62845611572,23643.604742685955,9.26,25858,3719,9.16
Adamawa,Shelleng,FACT,9,0,0.0,0.0,Partner,2026-04-09,445850.8656578064,74308.4776096344,9.28,10686,1781,9.31
Adamawa,Song,FACT,12,0,0.0,0.0,Partner,2026-04-09,390225.2474861145,65037.54124768575,9.28,5180,1216,9.19
Adamawa,Yola North,NRC,13,0,0.0,0.0,Partner,2026-08-25,411500.5311508179,68583.42185846965,9.28,11666,2544,9.1
